Date,Open,High,Low,Close,Volume
28-Apr-16,463.80,467.35,456.30,467.35,22594246
27-Apr-16,467.00,468.95,460.05,466.60,21582084
26-Apr-16,459.90,473.45,456.90,469.40,29308512
25-Apr-16,465.30,466.64,457.15,459.55,22179796
22-Apr-16,470.10,470.90,463.60,466.50,20544330
21-Apr-16,469.85,476.85,469.85,471.90,30706215
20-Apr-16,453.00,466.50,450.55,465.40,37734265
19-Apr-16,451.80,457.60,451.00,454.05,25066496
18-Apr-16,444.85,449.35,440.75,448.30,20721337
15-Apr-16,449.05,453.65,448.10,450.50,27736452
14-Apr-16,449.95,453.05,443.85,451.00,29431746
13-Apr-16,426.40,448.10,426.35,448.10,39640246
12-Apr-16,417.75,420.30,414.48,420.10,28391352
11-Apr-16,419.15,422.30,416.10,418.25,18723255
8-Apr-16,417.40,421.15,416.80,417.77,19041334
7-Apr-16,420.00,421.60,413.95,416.15,17669246
6-Apr-16,417.75,420.60,414.50,419.90,31114025
5-Apr-16,425.00,425.50,415.75,417.50,36900143
4-Apr-16,431.55,433.70,428.50,430.70,20228264
1-Apr-16,431.20,433.10,427.50,432.00,29959823
31-Mar-16,435.00,437.35,431.65,433.90,33309794
30-Mar-16,435.75,440.90,435.30,437.05,27894128
29-Mar-16,436.85,440.75,429.70,432.50,26389367
24-Mar-16,444.00,444.95,437.55,438.30,28634193
23-Mar-16,449.45,450.95,444.45,448.10,21935066
22-Mar-16,447.70,450.15,443.15,447.90,34594990
21-Mar-16,451.55,453.85,447.25,449.00,22993539
18-Mar-16,445.40,453.60,445.40,448.80,48890498
17-Mar-16,457.80,458.55,442.55,449.20,28774316
16-Mar-16,455.00,459.20,451.90,457.20,24938493
15-Mar-16,451.10,454.05,449.05,452.95,24634499
14-Mar-16,454.40,456.80,448.96,452.55,24923221
11-Mar-16,454.10,455.90,448.92,451.35,34634654
10-Mar-16,453.70,462.90,445.46,445.50,44716477
9-Mar-16,452.10,470.25,449.65,450.25,31896451
8-Mar-16,447.60,456.00,443.69,448.80,26761843
7-Mar-16,449.60,453.20,443.40,450.35,29104134
4-Mar-16,454.15,456.45,450.40,453.55,39194384
3-Mar-16,455.00,460.65,450.50,450.50,32304280
2-Mar-16,466.85,476.85,466.18,471.60,32310923
1-Mar-16,461.50,463.30,455.60,460.95,27717587
29-Feb-16,460.00,462.20,451.05,459.65,34201293
26-Feb-16,453.90,467.95,452.45,467.35,26172870
25-Feb-16,440.00,451.30,439.85,448.80,32058078
24-Feb-16,445.50,447.00,431.10,433.80,40092253
23-Feb-16,446.60,454.10,440.15,441.30,29805900
22-Feb-16,440.00,448.80,425.50,445.60,37338082
19-Feb-16,449.25,455.90,444.70,449.85,20651592
18-Feb-16,458.50,459.25,446.75,448.85,22338242
17-Feb-16,448.05,457.90,446.00,456.95,28849657
16-Feb-16,449.00,449.00,435.70,448.20,26146098
15-Feb-16,445.60,448.75,442.45,446.40,22901213
12-Feb-16,425.00,463.32,424.95,440.40,35851467
11-Feb-16,434.00,435.95,420.15,420.15,53058627
10-Feb-16,437.00,445.10,432.75,441.40,37352698
9-Feb-16,437.45,445.40,428.80,432.50,45270399
8-Feb-16,457.60,460.70,436.35,438.45,35442249
5-Feb-16,461.20,467.90,456.90,457.85,29929859
4-Feb-16,458.90,463.15,447.80,459.50,35617196
3-Feb-16,465.00,467.30,444.45,449.45,47331743
2-Feb-16,483.10,484.85,465.00,467.60,40464391
1-Feb-16,493.35,496.95,478.55,484.40,28377623
